time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
0	2466753.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
540	1197291.8	3591875.3999999994	52643.8	157931.40000000002	410358.8	1231076.4	658440.0	1975320.0	36357.2	109071.59999999999	39492.0	118476.0	1	1	0	0.1	0.30000000000000004	4	4	0	0.4	1.2000000000000002
600	3567441.2	1.07023236E7	0.0	0.0	820717.6	2462152.8	2139930.0	6419790.0	290857.6	872572.7999999999	315936.0	947808.0	1	1	0	0.1	0.30000000000000004	12	12	0	1.2	3.6000000000000005
660	3.39690038E7	1.019070114E8	0.0	0.0	2667332.2	8001996.6000000015	2.386845E7	7.160535E7	3563005.6	1.0689016799999999E7	3870216.0	1.1610648E7	1	1	0	0.1	0.30000000000000004	38	38	0	3.8	11.4
720	4.42540749E7	1.327622247E8	0.0	0.0	1744024.9	5232074.699999999	3.06586125E7	9.19758375E7	5680812.5	1.70424375E7	6170625.0	1.8511875E7	1	1	0	0.1	0.30000000000000004	55	55	0	5.5	16.5
780	2.69357318E7	8.080719539999999E7	0.0	0.0	615538.2	1846614.5999999999	1.76544225E7	5.296326750000001E7	4153810.1	1.2461430299999999E7	4511961.0	1.3535883E7	1	1	0	0.1	0.30000000000000004	61	61	0	6.1	18.3
840	3.10290638E7	9.308719139999999E7	0.0	0.0	512948.5	1538845.5	1.893015E7	5.679045E7	5553562.3	1.6660686900000002E7	6032403.0	1.8097209E7	1	1	0	0.1	0.30000000000000004	66	66	0	6.6	19.8
900	3.97265824E7	1.191797472E8	0.0	0.0	718127.9	2154383.6999999997	2.68725825E7	8.06177475E7	5817152.0	1.7451456E7	6318720.0	1.895616E7	1	1	0	0.1	0.30000000000000004	73	73	0	7.3	21.9
960	3.33052558E7	9.991576739999999E7	0.0	0.0	410358.8	1231076.4	2.21811975E7	6.65435925E7	5135454.5	1.5406363499999998E7	5578245.0	1.6734735E7	1	1	0	0.1	0.30000000000000004	77	77	0	7.7	23.099999999999998
1020	4.81491102E7	1.444473306E8	0.0	0.0	718127.9	2154383.6999999997	3.27162375E7	9.81487125E7	7053296.8	2.11598904E7	7661448.0	2.2984344E7	1	1	0	0.1	0.30000000000000004	84	84	0	8.4	25.2
1080	4.84554007E7	1.453662021E8	0.0	0.0	410358.8	1231076.4	3.32923725E7	9.98771175E7	7071475.4	2.12144262E7	7681194.0	2.3043582E7	1	1	0	0.1	0.30000000000000004	88	88	0	8.8	26.4
1140	6.62467987E7	1.987403961E8	0.0	0.0	615538.2	1846614.5999999999	4.790151E7	1.4370453E8	8498495.5	2.54954865E7	9231255.0	2.7693765E7	1	1	0	0.1	0.30000000000000004	94	94	0	9.4	28.2
1200	5.37187884E7	1.611563652E8	0.0	0.0	307769.1	923307.2999999999	4.07821275E7	1.2234638250000001E8	6053473.8	1.8160421400000002E7	6575418.0	1.9726254E7	1	1	0	0.1	0.30000000000000004	97	97	0	9.7	29.099999999999998
1260	2.11519541E7	6.3455862300000004E7	0.0	0.0	0.0	0.0	1.7037135E7	5.1111405E7	1972378.1	5917134.3	2142441.0	6427323.0	1	1	0	0.1	0.30000000000000004	97	97	0	9.7	29.099999999999998
1320	3.27918792E7	9.451318695812775E7	52643.8	157931.40000000002	410358.8	1231076.3999999997	2.584377E7	7.536208235321061E7	3108540.6	9235086.639523672	3376566.0	1.00313566932566E7	2	1	0	0.2	0.4000000000000001	101	97	0	10.1	28.99120556306688
1380	5.24155286E7	1.2090885061769365E8	0.0	0.0	2051794.0	5505541.031791444	4.03706025E7	9.437524457268737E7	4790061.1	1.1993196163552236E7	5203071.0	1.3027276657471009E7	2	1	0	0.2	0.4000000000000001	121	99	0	12.1	29.7
1440	6.01265043E7	1.2775296405971149E8	0.0	0.0	1436255.8	3978576.17814707	4.740768E7	1.0491172697659495E8	5408133.5	1.0826363631469943E7	5874435.0	1.17598371858672E7	2	1	0	0.2	0.4000000000000001	135	100	0	13.5	30.663496212923928
1500	5.71812584E7	1.166247916669949E8	0.0	0.0	1436255.8	4308767.399999998	4.17697875E7	8.372794446532267E7	6698814.1	1.4991782969611375E7	7276401.0	1.6284408398773625E7	2	1	0	0.2	0.4000000000000001	149	100	0	14.9	31.907522623983205
1560	6.0068055E7	1.3215936776958568E8	0.0	0.0	1128486.7	3385460.1	4.526775E7	9.486807198817997E7	6553385.3	1.7506211244341098E7	7118433.0	1.901563636532843E7	2	1	0	0.2	0.4000000000000001	160	100	0	16.0	33.2264954516723
1620	6.33614083E7	1.3220922084555717E8	0.0	0.0	718127.9	2154383.699999999	4.70373075E7	9.512230128708519E7	7480493.9	1.830568095952055E7	8125479.0	1.9884038167223703E7	2	1	0	0.2	0.4000000000000001	167	100	0	16.7	34.205408928998345
