time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
0	2466753.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0
180	52643.8	157931.40000000002	52643.8	157931.40000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0.1	0.30000000000000004	0	0	0	0.0	0.0
240	6449594.8	1.9348784400000002E7	0.0	0.0	1436255.8	4308767.3999999985	4444470.0	1.333341E7	272679.0	818037.0	296190.0	888570.0	1	1	0	0.1	0.30000000000000004	14	14	0	1.4	4.2
300	1.64417995E7	4.787217156875341E7	52643.8	157931.40000000002	1846614.6	4894292.138695937	1.0617345E7	3.13071819152447E7	1881485.1	5614223.035362889	2043711.0	6098294.04114044	2	1	0	0.2	0.4000000000000001	32	30	0	3.2	8.953211714239757
360	3.51942873E7	8.485953501241596E7	0.0	0.0	2667332.2	5334664.4	2.3292315E7	5.580989108579253E7	4426489.1	1.192369627601715E7	4808151.0	1.2951784332469754E7	2	1	0	0.2	0.4000000000000001	58	43	0	5.8	13.181805642627266
420	4.41788941E7	9.220307137547822E7	0.0	0.0	2359563.1	4856514.481579118	2.95886475E7	6.157724633635225E7	5862598.5	1.2754671755874828E7	6368085.0	1.3854408397319064E7	2	1	0	0.2	0.4000000000000001	81	52	0	8.1	16.996764397967045
480	5.30889213E7	1.073512114594542E8	52643.8	157931.40000000002	1949204.3	4216174.57137937	3.242817E7	6.638647014883172E7	8943871.2	1.7887927140915934E7	9715032.0	1.943026466969547E7	3	2	0	0.3	0.6403124237432849	100	58	0	10.0	20.31748015872047
540	5.84047088E7	1.2432275253751813E8	0.0	0.0	2359563.1	5582425.854677562	3.78603E7	8.165137204569498E7	8716638.7	1.7962740479435053E7	9468207.0	1.9511528583440125E7	3	2	0	0.3	0.6403124237432849	123	76	0	12.3	25.440322325002096
600	8.57876505E7	1.716307369805105E8	0.0	0.0	2769921.9	5767877.229292463	5.63377725E7	1.1275851835066523E8	1.27886451E7	2.558834258433711E7	1.3891311E7	2.779462734590786E7	3	2	0	0.3	0.6403124237432849	150	93	0	15.0	31.06122985330748
660	1.256450273E8	2.716215543242909E8	0.0	0.0	3180280.7	7460888.390953856	8.4691845E7	1.8417955736456534E8	1.81058856E7	3.843606510536246E7	1.9667016E7	4.175010955576816E7	3	2	0	0.3	0.6403124237432849	181	117	0	18.1	38.09055000915582
720	5.83410046E7	1.3351702803797069E8	0.0	0.0	923307.3	1970683.7837428942	3.8436435E7	8.912081021661006E7	9098389.3	2.037505829072939E7	9882873.0	2.2131841891495634E7	3	2	0	0.3	0.6403124237432849	190	120	0	19.0	39.61060464067672
780	1.254200248E8	2.511912045588377E8	0.0	0.0	1436255.8	2908920.0441154037	8.78605875E7	1.7576571910389596E8	1.73151165E7	3.488977856765183E7	1.8808065E7	3.7898054173415616E7	3	2	0	0.3	0.6403124237432849	204	128	0	20.4	42.424521211205196
840	1.353593715E8	2.7102391242181236E8	0.0	0.0	1641435.2	3559729.54611616	9.56795625E7	1.91862933912779E8	1.82331358E7	3.6466634082744785E7	1.9805238E7	3.961086973682673E7	3	2	0	0.3	0.6403124237432849	220	139	0	22.0	45.87155981651376
900	9.33624336E7	2.0215960805632582E8	0.0	0.0	820717.6	1704348.1002192132	6.70374225E7	1.456726946367749E8	1.22251085E7	2.627223604765028E7	1.3279185E7	2.8537487650143713E7	3	2	0	0.3	0.6403124237432849	228	144	0	22.8	47.53272556881206
960	1.114964392E8	2.6044697490563992E8	0.0	0.0	718127.9	2154383.6999999993	8.31692025E7	1.9371845583440885E8	1.32340208E7	3.0999608986231077E7	1.4375088E7	3.3672465373687685E7	3	2	0	0.3	0.6403124237432849	235	151	0	23.5	49.330011149400725
1020	1.20831112E8	2.5086655525998154E8	0.0	0.0	1025897.0	2247627.71430751	8.9465535E7	1.8605155845308316E8	1.454288E7	3.0011872118708875E7	1.57968E7	3.2599563599838573E7	3	2	0	0.3	0.6403124237432849	245	158	0	24.5	51.507766404688915
1080	8.29362274E7	2.0247669209911042E8	0.0	0.0	307769.1	923307.2999999999	6.56382375E7	1.5911040837410954E8	8144012.8	2.0371560785311103E7	8846208.0	2.2128042823251132E7	3	2	0	0.3	0.6403124237432849	248	161	0	24.8	52.287283348822015
1140	1.129788361E8	3.007684133584607E8	0.0	0.0	410358.8	1231076.4	8.9794755E7	2.3732356675550833E8	1.09162493E7	2.9842275958625782E7	1.1857473E7	3.241534447531848E7	3	2	0	0.3	0.6403124237432849	252	165	0	25.2	53.33254166079093
1200	8.69583572E7	1.9338757693689626E8	0.0	0.0	0.0	0.0	7.1523045E7	1.6045821508391595E8	7398690.2	1.585394882994089E7	8036622.0	1.722091214923112E7	3	2	0	0.3	0.6403124237432849	252	165	0	25.2	53.33254166079093
1260	7.4332247E7	1.540204164997494E8	0.0	0.0	410358.8	940250.1315456224	5.810733E7	1.1966447896532924E8	7580476.2	1.6096028853793036E7	8234082.0	1.74838648601651E7	3	2	0	0.3	0.6403124237432849	256	168	0	25.6	54.235044021370534
1320	1.132296137E8	2.7442267049092317E8	0.0	0.0	205179.4	615538.2	9.8025255E7	2.3499488606404206E8	7189636.3	1.871011817633275E7	7809543.0	2.032334687543961E7	3	2	0	0.3	0.6403124237432849	258	170	0	25.8	54.760934981061084
1380	8.37224739E7	1.8304775265836897E8	0.0	0.0	205179.4	410358.80000000005	6.995925E7	1.5312313830505988E8	6498849.5	1.416457393079005E7	7059195.0	1.5385875526024023E7	3	2	0	0.3	0.6403124237432849	260	171	0	26.0	55.138008669156704
